keyword,case_understanding,relevant_laws,important_rule,what_is_illegal,step1_title,step1_desc,step2_title,step2_desc,step3_title,step3_desc,step4_title,step4_desc,when_serious,if_serious
service not provided|service issue|paid but not received,Service not delivered after payment.,Consumer Protection Act,Service must be delivered.,Non-service is deficiency.,Collect Proof,Payment proof.,Contact Provider,Raise issue.,Follow Up,Reminder.,File Complaint,Consumer forum.,High loss,Contact lawyer.
privacy violation|data misuse|personal data leak|unauthorized data use|data shared without consent,Your personal data is used or shared without your permission.,Information Technology Act 2000|Data Protection Rules,Personal data must not be shared without consent.,Unauthorized use of personal data is illegal.,Collect Evidence,Take screenshots or proof.,Contact Platform,Report misuse.,File Complaint,cybercrime.gov.in.,Secure Accounts,Change passwords.,Financial fraud,Contact cyber police.
security deposit|deposit not returned|rental deposit issue|advance not refunded,Landlord not returning security deposit after vacating.,Rent Control Act,Deposit must be returned after agreement ends.,Holding deposit unfairly is illegal.,Check Agreement,Review terms.,Contact Landlord,Request return.,Send Notice,Formal warning.,File Complaint,Rent authority.,High amount,Contact lawyer.
eviction|forced eviction|vacate without notice|illegal eviction,Tenant forced to vacate without proper notice.,Rent Control Act,Notice period is mandatory.,Forceful eviction is illegal.,Check Agreement,Verify notice clause.,Talk Landlord,Request time.,Send Notice,Legal warning.,File Complaint,Rent authority.,Harassment,Contact lawyer.
mental harassment|stress due to service|consumer stress issue,Mental stress caused due to poor service or unfair practice.,Consumer Protection Act 2019,Consumers have right to fair treatment.,Harassment due to service deficiency is unfair.,Collect Proof,Keep communication.,Contact Company,Raise issue.,Escalate,Consumer helpline.,File Complaint,Consumer forum.,Severe stress,Contact lawyer.
business fraud|company misconduct|illegal business practice,Company involved in unfair or illegal activities.,Business Law,Companies must act legally.,Fraudulent practices are punishable.,Collect Evidence,Document issue.,Report Authority,Regulator.,Follow Up,Check action.,File Complaint,Legal authority.,Serious fraud,Contact lawyer.
company not complying with legal regulations|company violation|regulation violation|company illegal activity,Company is not following legal rules and regulations.,Business Law|Companies Act,Companies must strictly comply with all applicable laws and regulations.,Non-compliance with legal regulations is punishable.,Collect Proof,Document all instances of non-compliance with evidence.,Report Authority,File complaint with the concerned regulatory body (ROC, SEBI, etc.).,Follow Up,Check status of complaint.,File Complaint,Approach appropriate legal authority or court.,Serious breach or repeated violation,Contact lawyer.
warranty claim rejected unfairly causing financial and mental stress|warranty claim rejected unfairly,Warranty claim was unfairly rejected by company causing financial loss and mental stress.,Consumer Protection Act 2019,Manufacturer/seller must honor valid warranty claims.,Unfairly rejecting warranty claim is an unfair trade practice.,Collect Proof,Keep warranty card, invoice, and rejection letter.,Contact Company,Raise complaint in writing with all documents.,Escalate,Approach consumer helpline or grievance cell.,File Complaint,File case in Consumer Forum.,High financial loss or repeated issue,Contact lawyer.
contract terms violated after signing seeking legal resolution|contract terms violated after signing,Other party violated contract terms after signing the agreement.,Contract Law|Indian Contract Act 1872,Once signed, contract terms are legally binding and must be followed.,Violating contract terms is illegal and breach of contract.,Collect Proof,Keep signed contract and evidence of violation.,Contact Party,Send formal notice demanding compliance.,Send Legal Notice,Through lawyer if no response.,File Complaint,File civil suit for breach of contract.,High financial loss,Contact lawyer.
payment not made after contract completion seeking legal resolution|payment not made after contract completion,Payment not received after completing work/service as per contract.,Contract Law|Indian Contract Act 1872,Payment must be made as per agreed contract terms.,Non-payment after work completion is breach of contract.,Collect Proof,Keep contract, completion proof, and invoices.,Contact Party,Send reminder and demand payment.,Send Legal Notice,Formal demand through lawyer.,File Complaint,File suit for recovery of money.,High amount,Contact lawyer.
tenant forced to vacate property without notice seeking legal resolution|tenant forced to vacate property without notice|forced eviction|illegal eviction,Tenant was forced to vacate property without proper legal notice.,Rent Control Act|Transfer of Property Act,Proper notice period is mandatory before eviction.,Forcing tenant to vacate without notice is illegal.,Check Agreement,Verify notice clause in rent agreement.,Talk Landlord,Request time/extension in writing.,Send Notice,Legal warning through lawyer.,File Complaint,Approach Rent Control Authority or court.,Harassment or immediate threat,Contact lawyer.
forged property documents detected seeking legal resolution|property fraud|forged documents|fake property papers|forged property documents detected,Forged or fake property documents detected.,Property Law|Indian Penal Code Sections 420 465 467 468,Ownership documents must be genuine and authentic.,Forgery of property documents is a serious criminal offence.,Collect Proof,Keep all original and suspected forged documents.,Verify Records,Check with sub-registrar office or revenue records.,Report,File FIR with police for forgery and cheating.,File Case,Approach civil court for declaration and injunction.,High value property,Contact lawyer immediately.
college denied admission without valid reason causing financial and mental stress|admission denied|college admission rejected|unfair admission|seat denied|college denied admission without valid reason,College denied admission without any valid reason causing financial loss and mental stress.,Education Laws|University Grants Commission guidelines|State Education Acts,Admission process must be fair, transparent and as per rules.,Denying admission without valid reason is arbitrary and illegal.,Ask Reason,Request written reasons for denial.,Contact Authority,Approach higher education department or university.,File Complaint,File complaint with Education Department or Consumer Forum.,Discrimination or high financial loss,Contact lawyer.
contract terms violated after signing and no action taken by authorities|contract terms violated after signing,Contract terms violated after signing and authorities took no action.,Contract Law|Indian Contract Act 1872 + Consumer/Other laws,Contract once signed must be honored by both parties.,Violation of contract and inaction by authorities is against rule of law.,Collect Proof,Keep contract and all communication.,Follow Up with Authority,Send reminder to concerned authority.,Escalate,Approach higher authority or ombudsman.,File Complaint,Approach court for enforcement of contract.,Continued violation,Contact lawyer.
domestic conflict requiring legal guidance and no action taken by authorities|domestic issue|family dispute|house conflict|marriage conflict|domestic conflict requiring legal guidance,Domestic or family conflict where authorities took no action.,Family Law|Protection of Women from Domestic Violence Act|CrPC,Domestic disputes should be resolved legally if needed.,Ignoring genuine domestic issues by authorities is failure of duty.,Talk First,Attempt resolution within family.,Seek Mediation,Approach family counselors or elders.,Escalate,File complaint with police or magistrate.,File Complaint,Approach court or family court.,Violence or continued harassment,Contact lawyer.
warranty claim rejected unfairly and no action taken by authorities|warranty claim rejected unfairly,Warranty claim unfairly rejected and no action taken by authorities.,Consumer Protection Act 2019,Valid warranty claims must be honored.,Unfair rejection + inaction is deficiency in service.,Collect Proof,Keep all warranty related documents.,Follow Up,Send reminder to authority.,Escalate,Approach higher consumer authority.,File Complaint,File case in Consumer Forum.,Significant loss,Contact lawyer.
landlord not maintaining basic facilities|maintenance issue|repair|leak|broken|plumbing|roof|window,Landlord is not maintaining basic facilities in the rented property.,Rent Control Act,Landlord is responsible for basic maintenance and repairs.,Failure to maintain basic facilities is violation of landlord duties.,Take Photos,Document the poor condition clearly.,Inform Landlord,Send written complaint.,Follow Up,Send reminder.,File Complaint,Approach Rent Controller or authority.,Unsafe or unhygienic living condition,Contact lawyer.
forged property documents detected causing financial and mental stress|forged property documents detected,Forged property documents detected causing financial loss and mental stress.,Property Law|IPC Sections 420, 465, 467, 468,Forgery in property documents is serious crime.,Forgery causing loss is punishable offence.,Collect Proof,Keep documents and evidence of loss.,Verify Records,Check official records.,Report to Police,File FIR for forgery and cheating.,File Case,Approach court for relief.,High value or continued stress,Contact lawyer.
domestic conflict requiring legal guidance causing financial and mental stress|domestic issue|family dispute|domestic conflict requiring legal guidance,Domestic conflict causing financial loss and mental stress.,Family Law|Protection of Women from Domestic Violence Act,Family disputes must be handled as per law.,Causing mental/financial stress through domestic conflict can be harassment.,Document Everything,Keep records of incidents.,Seek Mediation,Approach counselor or family elders.,File Complaint,Police or magistrate if needed.,File Case,Family court if required.,Violence or severe stress,Contact lawyer.
salary delay|delayed salary|salary not paid|unpaid salary|pf not deposited|provident fund issue|epf not credited|pf not given,Employer is delaying salary payment and not depositing provident fund (EPF).,Employees' Provident Funds and Miscellaneous Provisions Act 1952|Payment of Wages Act 1936|Code on Wages 2019,Employer must pay salary on time and deposit EPF contributions regularly as per law.,Non-payment of salary and failure to deposit PF is illegal and punishable.,Collect Evidence,Keep salary slips bank statements and PF account details.,Contact Employer,Raised issue with HR or employer and ask for clarification.,File PF Complaint,Submit complaint on EPFO portal or labour department.,Legal Action,Approach labour court or file formal complaint.,Salary delayed for months or PF missing for long period,Consult labour lawyer and file official case immediately.
